reg_no,facility_name,facility_type,facility_agent,level,county
8911,HUM MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
14293,SOAL MEDICAL CENTRES,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
14347,MEDICARE HOSPITAL-KAKAMEGA,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
14358,KELANI MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
14468,CHELDEB MEDICAL CLINIC,NURSING HOME,Private,LEVEL 3B,KAKAMEGA
14663,MUNYANZA COMMUNITY NURSING HOME,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
14703,ROPHY MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
14719,BORA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
14746,LYSON MANYATTA MEDICAL & LABORATORY  SERVICES LIMIT,NURSING HOME,Private,LEVEL 3B,KAKAMEGA
14868,YONARIS MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
15019,EMUKAYA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
15100,SHINYALU HEALTHCARE LTD,NURSING HOME,Private,LEVEL 3B,KAKAMEGA
15136,NEON RAPHA HEALTHCARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
15154,KAKAMEGA GRACE MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
15189,IKONYERO MED CARE HEALTH CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
15228,EL GIBHOR MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
15300,ALFROSE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
15337,WESTLANDS KOYONZO MEDICARE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
15354,KADVAN MEDICAL SERVICES CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
15366,ST CHRISTINE MEDICAL CENTRE KAKAMEGA,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
15376,RUBYS COMMUNITY HEALTH SERVICES,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
15466,FHOK- FAMILYCARE MEDICAL MEDICAL CENTRE-KAKAMEGA,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
15483,LUGARI MEDICAL LIMITED CHEKALINI,NURSING HOME,Private,LEVEL 3B,KAKAMEGA
15641,OUR HEALTH MEDICAL CENTRE LTD,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
15689,ST. RAPHAEL KAKAMEGA MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
15828,SHIBALE MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
15842,ZION AHADI MEDICLINIC,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
15852,KAKAMEGA FAMILY HEALTH CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
15892,BEGGS NURSING HOME LIMITED-MATUNDA,NURSING HOME,Private,LEVEL 3B,KAKAMEGA
15911,DR.OKETCH PROTAS WERE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
15921,MISHCARE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
15938,MUSOLI MEDICAL CENTRE LTD,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
16024,LUBAO CENTRE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
16074,SHADAPHA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
16085,IVONA WAYSIDE MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
16147,MWANZA MEDICARE CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
16187,MBAYA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
16209,KAKAMEGA DENTAL SUITE,DENTAL CLINIC,Private,LEVEL 2,KAKAMEGA
16243,NERRY COMMUNITY MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
16265,MONTERI MEDICAL HOSPITAL,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
16312,SOSPETER MTEULE MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
16337,MEDICROSS LIMITED  MUMIAS,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
16429,LAKEWOOD MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
16453,OASIS DOCTORS PLAZA KAKAMEGA LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,KAKAMEGA
16495,KAVANGOV CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
16586,MONTERI MEDICAL HOSPITAL-LUKOYE,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
16615,HAMPTONS HOSPITAL LTD,HOSPITAL LEVEL 4,Private,LEVEL 4,KAKAMEGA
16632,ST.JAMES VISIONS MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
16667,MUMIAS-WEST HEALTH CARE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
16941,ESHIO COMMUNITY HEALTHCARE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
16969,ELISS MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,KAKAMEGA
17097,SHEYWE COMMUNITY HOSPITAL LTD,HOSPITAL LEVEL 4,Private,LEVEL 4,KAKAMEGA
17239,OCEAMNIC MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
17360,SHISEJERI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
17367,ARIZONA MEDICAL CENTER LIMITED,NURSING HOME,Private,LEVEL 3B,KAKAMEGA
17405,OLYMUS HEALTHCARE CENTER LTD,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
17504,KAKAMEGA HIGH SCHOOL MEDICAL CLINIC,BASIC HEALTH CENTR,Private,LEVEL 3A,KAKAMEGA
17577,AMALEMBA ANNEX MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
17581,LEBEN MEDICAL SERVICE- SHAMBERERE,NURSING HOME,Private,LEVEL 3B,KAKAMEGA
17592,AFRILIFE HEALTH MEDICAL CLINIC LIMITED,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
17623,EQUITY AFIA LIMITED- KAKAMEGA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
17668,ST.PHILOMENA IROBI MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
17780,MULWHANDA CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
17784,JODEG MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
17791,BOSTCARE MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
17799,EKERO GOODHOPE ENT MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
18096,ST.MARKS ZILIPAH MEDICAL CENTRE KAKAMEGA,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
18124,JAHELY NEEMA MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
18258,THE KEDAN DENTAL CLINIC LIMITED,DENTAL CLINIC,Private,LEVEL 2,KAKAMEGA
18268,ASPRO MEDECOL SOLUTION LIMITED,NURSING HOME,Private,LEVEL 3B,KAKAMEGA
18357,NASM DIGITAL MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
18426,AFYAMED LUBAO MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
18625,AFYAUHAI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
18714,WESTERN ORTHOPAEDIC AND TRAUMA CENTRE LIMITED,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
18797,INGO MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
18850,"ST JONE\'S MEDICAL,SHIBWE",MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
18922,JOEBELLAS MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
18997,ELEPHANT DENTAL CLINIC-KAKAMEGA,DENTAL CLINIC,Private,LEVEL 2,KAKAMEGA
19003,SHEYWE COMMUNITY HOSPITAL-KAKAMEGA LTD,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
19014,SHIKHAMBI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
19057,CLISS MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
19058,VENUS APOLLO MEDICAL CENTRE LTD,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
19145,MARBLEHILL MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
19153,LIZSINCERE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
19233,NANGILI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
19237,MOSMI MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
19240,MARIE STAR MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
19245,LORENZA MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
19334,ST.JOSEPHINE MUDEKU MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
19350,THE TRANQUIL HOSPITAL LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
19623,SURGICAL SOLUTIONS HOSPITAL LIMITED,NURSING HOME,Private,LEVEL 3B,KAKAMEGA
19682,MARYJACKSON MEDICAL CLINIC HARAMBEE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
19750,MANYULIA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
19788,BULIMBO MEDICAL SERVICES,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
19805,JED BLOSSOMS HOSPITAL LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
19823,SAMAWEST COMMUNITY HOSPITAL LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
19875,EMINENT SMILES DENTAL CLINIC,DENTAL CENTRE,Private,LEVEL 3A,KAKAMEGA
19877,SAMAWEST COMMUNTY HOSPITAL LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
19983,ELIMAT GROUP NURSING HOME(BUKHAKUNGA) LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
20010,LIRHEMBE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
20015,NIOKOE MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
20105,OMULINA VISION MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
20201,LIKHOBERO COMMUNITY MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
20297,THE SMILE SUITE DENTAL CENTRE LIMITED,DENTAL CLINIC,Private,LEVEL 2,KAKAMEGA
20469,ILESI PRIMELIFE MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
20566,TRESHACARE MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
20731,THE CARING IMANGA MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
20746,AVENUE HEALTHCARE LIMITED-KAKAMEGA,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
20791,KACHCARE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
20888,KHAYEGA JOYFUL SMILES DENTISTRY,DENTAL CLINIC,Private,LEVEL 2,KAKAMEGA
20892,KHASHAMA MEDICAL CLINIC SHIKHAMBI,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
20918,WANGA LIFECARE CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
20976,BRIMM HEALTHCARE CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
21056,ADAMVIT HOSPITAL ROSTAMAN,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
21062,PEARLS AND PSALMS HOSPITAL LIMITED,NURSING HOME,Private,LEVEL 3B,KAKAMEGA
21085,THE TRANQUIL HOSPITAL LIMITED-BUKURA,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
21120,BUHURU PONYA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KAKAMEGA
18009,ST GALLEN ONCOLOGY NETWORK,MEDICAL CENTRE,Private,LEVEL 3A,KAKAMEGA
211,ST. LEONARDS HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,KERICHO
462,SANN MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
1463,NDUBUSAT BETHEL MEDICAL CLINIC,HEALTH CENTRE,Private,LEVEL 3B,KERICHO
1655,ARROKET ESTATE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
1666,KENYA TEA PACKERS CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
2197,CHEBITET HEALTH CENTRE,HEALTH CENTRE,Private,LEVEL 3B,KERICHO
2242,SIMOTWEI DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
2244,ENGINEERING DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
2260,FIG TREE HEALTH OPTIONS,HEALTH CENTRE,Private,LEVEL 3B,KERICHO
2273,CHEPTABES DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
2274,KIPKETER DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
2275,KAPSONGOI DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
2278,TENDUET DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
2279,CHEMASE DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
2281,KAPRORET DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
2283,MARINYIN DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
2536,LIPTON CENTRAL HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,KERICHO
2582,AFYA POINT MEDICARE LIMITED,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
2836,KERICHO MEDICAL CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,KERICHO
3361,THE AGA KHAN HOSPITAL KERICHO,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
3476,KERICHO OUTPATIENT MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,KERICHO
3749,SOSIOT MEDICAL CENTRE-,HEALTH CENTRE,Private,LEVEL 3B,KERICHO
4387,FIG TREE HEALTH OPTIONS KERICHO LTD,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
4994,KAPCHANGA MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,KERICHO
6130,KALYET CLINIC KIPKELION,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
6150,KAPSOIT HILLS MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
6242,ST GABRIEL HOSPITAL LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,KERICHO
6275,BLISS  HEALTHCARE LIMITED KERICHO,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
7066,KERICHO WOMENS CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
7210,ST ANNES CATHOLIC DISPENSARY,DISPENSARY,Private,LEVEL 2,KERICHO
7413,LITEIN DENTAL CLINIC,DENTAL CLINIC,Private,LEVEL 2,KERICHO
12457,MEDIHEALTH INVESTMENT GROUP LTD,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
12458,STRAIGHT SMILE DENTAL LTD,DENTAL CLINIC,Private,LEVEL 2,KERICHO
13987,RORET MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
14295,SCANHEALTH LIMITED,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
14352,PEARL WHITE DENTAL LTD KERICHO,DENTAL CLINIC,Private,LEVEL 2,KERICHO
14652,SILOAM HOSPITAL LIMITED,HOSPITAL LEVEL 5,Private,LEVEL 5,KERICHO
14759,LUMINOUS HILLMED LTD,MEDICAL CENTRE,Private,LEVEL 3A,KERICHO
15525,JAGOROR MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
15677,RELSUN MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
15759,GREENVIEW NURSING HOME,HOSPITAL LEVEL 4,Private,LEVEL 4,KERICHO
15791,FIG TREE DENTAL OPTIONS LTD,DENTAL CLINIC,Private,LEVEL 2,KERICHO
16164,CHEPSEON MEDICARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
16239,ORACLE HEALTHCARE LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,KERICHO
16443,KIPSINENDE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
16460,SANRO COMMUNITY BASED NURSING HOME,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
16536,MEDISTAR ANNEX KERICHO LIMITED,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
16598,JOVIED MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
16930,KORYLINE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
16988,CHEPSEON HEALTH SERVICES,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
17529,PHINAL MEDICARE CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
18054,ROPHAN MEDICAL CLINIC AND LABORATORY SERVISES,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
18155,BURETI HEALTHCARE CONSULTING LTD,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
18283,AWE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
18452,ELDORET HOSPITAL-KERICHO BRANCH,COTTAGE HOSPITAL,Private,LEVEL 3B,KERICHO
18565,SONDU BAHATI MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
18574,JUMKINO MEDICAL CENTER,MEDICAL CENTRE,Private,LEVEL 3A,KERICHO
18880,MEDISTAR HOSPITAL KERICHO LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,KERICHO
18907,THE GYNOCARE PREMIER CLINIC KERICHO,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
18949,KIPKORIR MATHEW SANG KABIANGA HOSPITAL-CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
18951,MEDKIM CARE CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
18969,ANNEX TULWAPMOI HEALTHCARE,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
19041,PATSAM PHARMCARE,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
19195,EMBASSY MENDICARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
19382,COLNEV MEDCARE LIMITED,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
19705,KENEGUT MEDICAL AND DENTAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
19804,SOUTHRIFT HOSPITAL LIMITED,HOSPITAL LEVEL 5,Private,LEVEL 5,KERICHO
19838,JIBU HEALTHCARE LTD,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
19929,KIPSOLU MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
19973,AINAMOI HEALTH CLINIC LIMITED,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
19988,ELEPHANT DENTAL KERICHO BRANCH,DENTAL CLINIC,Private,LEVEL 2,KERICHO
20260,TULWAP KIPSIGIS MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
20689,LAPKEYET BETALIFE MEDICAL LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,KERICHO
20780,LIPTON CENTRAL HOSPITAL-JAMII CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
20799,LIPTON CENTRAL HOSPITAL-KIMUGU CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
20974,KAPLABA COMMUNITY MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
20985,CAREHILLS MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
21036,PSALMS HIGHWAY HEALTHCARE,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
21074,DELIGHT DENTAL LIMITED-KERICHO,DENTAL CLINIC,Private,LEVEL 2,KERICHO
21146,CHELAL SMART MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
17986,ELSA MEDICAL CENTRE LIMITED,NURSING HOME,Private,LEVEL 3B,KERICHO
17994,KIPSITET MEDICARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KERICHO
18032,AFYAPOINT MEDICARE LIMITED -ANNEX,EYE HOSPITAL LEVEL,Private,LEVEL 4,KERICHO
93,RUIRU HOSPITAL,NURSING HOME,Private,LEVEL 3B,KIAMBU
94,THIKA NURSING HOME LTD,NURSING HOME,Private,LEVEL 3B,KIAMBU
111,AHADI HEALTH & MATERNITY SERVICES,MATERNITY HOME,Private,LEVEL 3B,KIAMBU
237,ST. TERESA MATERNITY & NURSING HOME -KIKUYU,HOSPITAL LEVEL 4,Private,LEVEL 4,KIAMBU
263,EDIANNA NURSING HOME,NURSING HOME,Private,LEVEL 3B,KIAMBU
397,SUNVIEW MATERNITY & NURSING HOME,MATERNITY HOME,Private,LEVEL 3B,KIAMBU
499,LIMURU NURSING HOME,HOSPITAL LEVEL 4,Private,LEVEL 4,KIAMBU
525,WAKIBE MEDICAL CENTRE-RUIRU,MEDICAL CENTRE,Private,LEVEL 3A,KIAMBU
582,CENTRAL MEMORIAL HOSPITAL LTD,HOSPITAL LEVEL 4,Private,LEVEL 4,KIAMBU
626,SMARTCARE DENTAL,DENTAL CLINIC,Private,LEVEL 2,KIAMBU
707,NDONYERO MATERNITY HOME & MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
785,GATUNDU WOMENS CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
794,NAIDU HOSPITAL LTD,HOSPITAL LEVEL 4,Private,LEVEL 4,KIAMBU
812,ST. JUDE NURSING HOME - GATUNDU,HOSPITAL LEVEL 4,Private,LEVEL 4,KIAMBU
902,DONYO SABUK MATERNITY & NURSING HOME,NURSING HOME,Private,LEVEL 3B,KIAMBU
1203,OTHAYA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
1259,KARIRANA ESTATES LIMITED MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
1266,KIMLEA MEDICAL CLINIC,DISPENSARY,Private,LEVEL 2,KIAMBU
1300,KIAMBU MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,KIAMBU
1375,CATMAG MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
1427,THIKA DENTAL CARE CENTRE LLP,DENTAL CLINIC,Private,LEVEL 2,KIAMBU
1467,DELMONTE  - CHUI DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
1468,DELMONTE GATUANYAGA DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
1475,ST. MARY MOTHER & CHILD MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
1477,DELMONTE NDULA CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
1511,BETA CARE HOSPITAL LTD,HOSPITAL LEVEL 4,Private,LEVEL 4,KIAMBU
1547,SHIKAMOO MEDICARE CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
1565,SILOA MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,KIAMBU
1668,TUMUTUMU COMMUNITY MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
1725,VINEYARD HOSPITAL LTD,HOSPITAL LEVEL 4,Private,LEVEL 4,KIAMBU
1744,NEW HOPE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
1762,SHALOME MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
1840,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHN,MEDICAL CENTRE,Private,LEVEL 3A,KIAMBU
1893,WENDANI MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
1895,NAZARENE MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
1959,POLLEN LIMITED DISPENSARY,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
2047,RED LANDS ROSES PLC-CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
2076,JOYLAND MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
2157,MERIDIAN MEDICAL CENTRE THIKA,MEDICAL CENTRE,Private,LEVEL 3A,KIAMBU
2162,MOSI FLOWER FARM STAFF CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
2188,DENTAL CAPITAL GROUP LIMITED,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
2255,JEKA HEALTH CARE,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
2436,THE HAVEN MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
2539,ST. JUDE HEALTHCARE,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
2610,FHOK FAMILYCARE MEDICAL CENTRE THIKA,MEDICAL CENTRE,Private,LEVEL 3A,KIAMBU
2713,THE MATER HOSPITAL - THIKA,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
2716,TUMAINI MEDICAL AND LABORATORY CENTRE,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
2733,MERCYLITE HOSPITAL LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,KIAMBU
2968,REAL IPM COMPANY CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
3028,SMILESTAR  DENTAL AND HEALTH CARE SERVICES,MEDICAL CENTRE,Private,LEVEL 3A,KIAMBU
3043,SHAMMAH MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
3122,SPA NURSING HOME,NURSING HOME,Private,LEVEL 3B,KIAMBU
3128,BARAKA SMILES DENTAL CLINIC,DENTAL CLINIC,Private,LEVEL 2,KIAMBU
3158,AKSHAR HEALTH CARE LTD,NURSING HOME,Private,LEVEL 3B,KIAMBU
3176,EBENEZAR MEDICAL CLINIC UPLANDS,MEDICAL CLINIC,Private,LEVEL 2,KIAMBU
