facility_name,reg_no,facility_type,level,county,status
CHEPTANGULGEI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BOMET,ACTIVE
CHEPTANTAN DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TRANS NZOIA,ACTIVE
CHEPTARIT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NANDI,ACTIVE
CHEPTEBO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
CHEPTERIT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,UASIN GISHU,ACTIVE
CHEPTERIT MEDICAL CENTRE,015xxx,MEDICAL CLINIC,LEVEL 2,NANDI,ACTIVE
CHEPTERIT MEDICAL CLINIC-NGENYILEL,014xxx,MEDICAL CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
CHEPTERWAI SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,NANDI,ACTIVE
CHEPTERWO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
CHEPTIANGWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
CHEPTIGIT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,UASIN GISHU,ACTIVE
CHEPTIL DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NANDI,ACTIVE
CHEPTILIL DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NANDI,ACTIVE
CHEPTINGTING DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BOMET,ACTIVE
CHEPTINGWICH DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NANDI,ACTIVE
CHEPTIREET SPRINGS MEDICAL CLINIC,019xxx,MEDICAL CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
CHEPTIRET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,UASIN GISHU,ACTIVE
CHEPTOBOT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TRANS NZOIA,ACTIVE
CHEPTONGEI MEDICAL CLINIC,014xxx,MEDICAL CLINIC,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
CHEPTONGEI MODEL HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,ELGEYO/ MARAKWET,ACTIVE
CHEPTOSOT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
CHEPTUECH DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
CHEPTUGENIOT MEDICAL CLINIC,021xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
CHEPTUIYET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
CHEPTULU CFW CLINIC,003xxx,MEDICAL CLINIC,LEVEL 2,VIHIGA,ACTIVE
CHEPTULU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,VIHIGA,ACTIVE
CHEPTUR HEALTH SERVICES,021xxx,MEDICAL CENTRE,LEVEL 3B,BOMET,ACTIVE
CHEPTURNGUNY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
CHEPTURU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
CHEPTYA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
CHEPUKAT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
CHEPWOSTUIYET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BOMET,ACTIVE
CHEPYAGORIS DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NANDI,ACTIVE
CHEPYEGON DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
CHEPYUK HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,BUNGOMA,ACTIVE
CHERAMEI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,UASIN GISHU,ACTIVE
CHERAMOI\'S MARO CLINIC,017xxx,MEDICAL CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
CHERANGAN DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
CHERANGANI EYE AND OPTICAL SERVICES,006xxx,EYE CLINIC,LEVEL 2,TRANS NZOIA,ACTIVE
CHERANGANY SUB COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,TRANS NZOIA,ACTIVE
CHERARA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
CHERIBO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
CHERONGET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
CHERORGET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
CHERRYL CARE MEDICAL CLINIC,006xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
CHERWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
CHESANGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
CHESETAN HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,ELGEYO/ MARAKWET,ACTIVE
CHESIKAKI HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,BUNGOMA,ACTIVE
CHESINENDE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUNGOMA,ACTIVE
CHESIRIMION DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
CHESIYO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
CHESOEN DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BOMET,ACTIVE
CHESOI HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
CHESONGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
CHESONGOCH MISSION HOSPITAL,001xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,ELGEYO/ MARAKWET,ACTIVE
CHESRA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
CHEST AND SKIN CLINIC,015xxx,MEDICAL CENTRE,LEVEL 3B,EMBU,ACTIVE
CHESUBET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
CHESUNET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,UASIN GISHU,ACTIVE
CHESUPET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
CHEVOSO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAKAMEGA,ACTIVE
CHEWANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TANA RIVER,ACTIVE
CHEWELE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TANA RIVER,ACTIVE
CHIAKARIGA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,THARAKA NITHI,ACTIVE
CHIANDA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
CHIBARANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
CHIDSTAL HEALTHCARE,019xxx,MEDICAL CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
CHIDZAYA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
CHIDZIPWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
CHIEF MILIMU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAKAMEGA,ACTIVE
CHIEKO MEDICAL CENTRE,021xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
CHIENI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
CHIFIRI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TANA RIVER,ACTIVE
CHIGA DISPENSARY,GK-xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
CHIGATO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
CHIGOMBERO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
CHIGUTU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
CHILD MENTAL HAVEN LIMITED,019xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,NAIROBI,ACTIVE
CHILODI CROSS FIT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
CHILUMANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
CHIMASTAR HOSPITAL LIMITED,005xxx,HOSPITAL LEVEL 4,LEVEL 4,NYAMIRA,ACTIVE
CHINA GEZHOUBA COMPANY CLINIC,016xxx,MEDICAL CLINIC,LEVEL 2,KITUI,ACTIVE
CHINA OPTICAL AND DENTAL SERVICES CLINIC LIMITED,021xxx,DENTAL CENTRE,LEVEL 3B,EMBU,ACTIVE
CHINATO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MIGORI,ACTIVE
CHINDI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
CHIROBANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAKAMEGA,ACTIVE
CHIROLE MEDICAL CENTRE LIMITED,024xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
CHIROMO LANE MEDICAL CENTRE,000xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,NAIROBI,ACTIVE
CHIROMO LANE MEDICAL CENTRE ANNEX,001xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,NAIROBI,ACTIVE
CHIROMO MENTAL HEALTH HOSPITAL -NAIROBI LIMITED,017xxx,HOSPITAL LEVEL 5,LEVEL 5,NAIROBI,ACTIVE
CHIROMO MENTAL HEALTH HOSPITAL LIMITED,020xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
CHIROMO MENTAL HEALTH HOSPITAL LIMITED-NYALI,019xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,MOMBASA,ACTIVE
CHIRON MEDICAL DIAGNOSTICS AND IMAGING HOSPITAL LIMITED,019xxx,HOSPITAL LEVEL 5,LEVEL 5,KISII,ACTIVE
CHISTKIN HEALTH SERVICES,018xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
CHITSANZE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
CHOGOO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
CHOK-CHOK DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TURKANA,ACTIVE
CHOKAA MEDICAL CENTRE LTD,016xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
CHOMBA GITAU NEEMA MEDICAL CENTRE,020xxx,MEDICAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
CHOMBELI MODEL HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KAKAMEGA,ACTIVE
CHONGENWO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BOMET,ACTIVE
CHONGEWA HEALTH CENTRE,020xxx,MEDICAL CENTRE,LEVEL 3B,BUNGOMA,ACTIVE
CHORONOK DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
CHOROQO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MANDERA,ACTIVE
CHOROQO NURSING HOME LIMITED,024xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
CHORWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
CHRISMEDIC CLINIC,021xxx,MEDICAL CLINIC,LEVEL 2,MURANG'A,ACTIVE
CHRIST THE GOOD SHEPHERD REHABILITATION CENTRE,020xxx,BASIC HEALTH CENTRE,LEVEL 3B,NYERI,ACTIVE
CHRIST THE HEALER HOME CARE NURSING HOSPITAL,001xxx,FAITH-BASED BASIC CENTRE,LEVEL 3B,KAKAMEGA,ACTIVE
CHRISTAMARIANNE MISSION HOSPITAL (ASUMBI),002xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,KISII,ACTIVE
CHRISTAMARIANNE MISSION HOSPITAL (ASUMBI)-ANNEX,014xxx,MEDICAL CENTRE,LEVEL 3B,KISII,ACTIVE
CHRISTELLA CARE CENTRE,016xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
CHRISTIAN COMMUNITY SERVICES MAUA MEDICAL CENTRE,000xxx,FAITH BASED DISPENSARY,LEVEL 2,MERU,ACTIVE
CHRISTIAN COMMUNITY SERVICES MAYORI DISPENSARY,000xxx,FAITH BASED DISPENSARY,LEVEL 2,EMBU,ACTIVE
CHRISTIAN MISSION INTERNATIONAL-SAMBOCHO HEALTH CENTRE,014xxx,MISSION HOSPITAL LEVEL 3,LEVEL 3B,BUNGOMA,ACTIVE
CHRISTIAN SON MEDICAL CLINIC,014xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
CHRISTINEBELL HEALTH CARE,019xxx,MEDICAL CLINIC,LEVEL 2,NYERI,ACTIVE
CHRISTON MEDICAL CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
CHRISTROIS MEDICAL CENTRE,019xxx,MEDICAL CLINIC,LEVEL 2,NYERI,ACTIVE
CHRIZAH MEDICAL CLINIC LIMITED,015xxx,MEDICAL CLINIC,LEVEL 2,BUNGOMA,ACTIVE
CHS TUMAINI DICE ASEMBO BAY,019xxx,MEDICAL CLINIC,LEVEL 2,SIAYA,ACTIVE
CHS TUMAINI DICE BONDO,019xxx,MEDICAL CLINIC,LEVEL 2,SIAYA,ACTIVE
CHS TUMAINI DICE SIAYA,019xxx,MEDICAL CLINIC,LEVEL 2,SIAYA,ACTIVE
CHS TUMAINI DICE UGUNJA,019xxx,MEDICAL CLINIC,LEVEL 2,SIAYA,ACTIVE
CHUIYAT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,UASIN GISHU,ACTIVE
CHUKA COUNTY REFERRAL HOSPITAL,GK-xxx,HOSPITAL LEVEL 5,LEVEL 5,THARAKA NITHI,ACTIVE
CHUKA HEALTHCARE SERVICES,020xxx,MEDICAL CLINIC,LEVEL 2,THARAKA NITHI,ACTIVE
CHUKA NURSING HOME,015xxx,NURSING HOME,LEVEL 3A,THARAKA NITHI,ACTIVE
CHUKA PRIMARY HEALTH CARE CLINIC,GK-xxx,DISPENSARY,LEVEL 2,THARAKA NITHI,ACTIVE
CHUKA UNIVERSITY DISPENSARY,019xxx,DISPENSARY,LEVEL 2,THARAKA NITHI,ACTIVE
CHUKURA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,UASIN GISHU,ACTIVE
CHULAIMBO SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KISUMU,ACTIVE
CHULUNI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
CHUMANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
CHUMVI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,LAIKIPIA,ACTIVE
CHUNGAMALI CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
CHUOWE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
CHURCH ARMY DENTAL CLINIC,001xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
CHURCH ARMY MEDICAL CENTRE,004xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
CHURO HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
CHUTH BER DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
CHWELE FOUNTAIN HOSPITAL LTD,019xxx,MEDICAL CENTRE,LEVEL 3B,BUNGOMA,ACTIVE
CHWELE SIKUSI KATTI MEDICAL CARE CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,BUNGOMA,ACTIVE
CHWELE SUB COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,BUNGOMA,ACTIVE
CIAGI-INI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KIRINYAGA,ACTIVE
CIAKANTHUKURI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
CIALA HOSPITAL KISUMU LIMITED,023xxx,NURSING HOME,LEVEL 3A,KISUMU,ACTIVE
CIANDA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIAMBU,ACTIVE
CIANGERA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
CINEN MEDICAL CENTRE,016xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
CINEN MEDICAL CLINIC LTD,015xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
CIOLUBA FAMILY HEALTH CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
CIRAL MEDICAL CENTRE,018xxx,MEDICAL CLINIC,LEVEL 2,MIGORI,ACTIVE
CITI VIEW NURSING HOME LIMITED,019xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
CITIMED FAMILY HEALTH CLINIC,015xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
CITY EYE HOSPITAL,005xxx,EYE HOSPITAL LEVEL 4,LEVEL 4,NAIROBI,ACTIVE
CITY EYE HOSPITAL LIMITED,019xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,NYERI,ACTIVE
CITY GATE DOCTORS PLAZA LTD,015xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,KITUI,ACTIVE
CITY HEALTH LIMITED,014xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
CITY HEALTH LIMITED-MOMBASA,019xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
CITY POINT MEDICAL CLINIC,001xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
CITY STADIUM HEALTH SERVICES,004xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,INACTIVE
CITYMED COTTAGE HOSPITAL NYANDARUA,019xxx,MEDICAL CENTRE,LEVEL 3B,NYANDARUA,ACTIVE
"CITYMED EAR,NOSE AND THROAT MEDICAL CENTRE",179xxx,MEDICAL CLINIC,LEVEL 2,LAIKIPIA,ACTIVE
CITYSTAR HOSPITAL LIMITED,021xxx,NURSING HOME,LEVEL 3A,NAIROBI,ACTIVE
CIVIL SERVANTS CLINIC,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
CIVIL SERVANTS DC HEADQUARTERS DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
CKS DIALYSIS CENTRE - BURUBURU,015xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,NAIROBI,ACTIVE
CKS DIALYSIS CENTRE PANGANI,016xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,NAIROBI,ACTIVE
CKS HOSPITAL LIMITED-KIMUKA,023xxx,MEDICAL CENTRE,LEVEL 3B,KAJIADO,ACTIVE
CLACE LA VARDE MEDICAL CLINIC,017xxx,MEDICAL CLINIC,LEVEL 2,SAMBURU,ACTIVE
CLASTAN MEDICAL SERVICES,007xxx,MEDICAL CENTRE,LEVEL 3B,KIRINYAGA,ACTIVE
CLAYTONS FAMILY MEDICAL CENTRE,005xxx,MEDICAL CENTRE,LEVEL 3B,BUNGOMA,ACTIVE
CLEARSCAN MEDICAL SOLUTIONS,016xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
CLEARVIEW SPECIALIST MEDICARE,018xxx,MEDICAL CENTRE,LEVEL 3B,NYAMIRA,ACTIVE
CLEVELAND HEALTH CARE CENTRE,018xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
CLEVERLAND COTTAGE HOSPITAL AND MATERNITY LTD,020xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
CLINIC CARE MEDICAL CLINIC,016xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
CLINIPEX MEDICAL CLINIC,005xxx,MEDICAL CLINIC,LEVEL 2,NYANDARUA,ACTIVE
CLINIVA HEALTHCARE LIMITED,019xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
CLINIVA MEDICAL CLINIC-BURUBURU,020xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
CLINIX HEALTHCARE LTD HAILE SELASSIE AVENUE NAIROBI,001xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
CLISS MEDICAL CENTRE,019xxx,MEDICAL CENTRE,LEVEL 3B,KAKAMEGA,ACTIVE
CLIWIN MEDICAL CLINIC,015xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
CLOSE TO HOME HEALTH FACILITY,020xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
CLOUDLESS MEDICAL CLINIC,020xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
CMI HUDUMA HEALTH CENTRE,020xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
CO-OPERATIVE UNIVERSITY HEALTH UNIT,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
COAST GENERAL TEACHING AND REFERRAL HOSPITAL,GK-xxx,Hospital Level 5,LEVEL 5,MOMBASA,ACTIVE
COAST NEUROLOGY CENTRE,008xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
CODE CARE MEDICAL CENTRE,021xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
COFFEE RESEARCH FOUNDATION,016xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
COLE CLINIC,005xxx,MEDICAL CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
COLLCAM CARE CLINIC,019xxx,MEDICAL CLINIC,LEVEL 2,LAIKIPIA,ACTIVE
COLNEV MEDCARE LIMITED,019xxx,MEDICAL CLINIC,LEVEL 2,KERICHO,ACTIVE
COLORADO MEDICAL CARE,023xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
COLUMBIA AFRICA HEALTHCARE,017xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
COLUMBIA AFRICA HEALTHCARE LIMITED,023xxx,NURSING HOME,LEVEL 3A,KIAMBU,ACTIVE
COLUMBIA AFRICA HEALTHCARE LTD,006xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
COMFORT CARE THREEHUNDREDANDSIXTYPLUS,019xxx,NURSING HOME,LEVEL 3A,NAIROBI,ACTIVE
COMFORT HAVEN MEDICAL SERVICES,021xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
COMFY HEALTHCARE LIMITED,017xxx,MEDICAL CENTRE,LEVEL 3B,BUSIA,ACTIVE
COMMUNAL ORIENTED SERVICES,002xxx,NURSING HOME,LEVEL 3A,NAIROBI,ACTIVE
COMMUNITY ALPHALINK MEDICAL CENTRE,015xxx,MEDICAL CLINIC,LEVEL 2,HOMA BAY,ACTIVE
COMMUNITY MEDICAL AND LAB SERVICES,006xxx,MEDICAL CENTRE,LEVEL 3B,SAMBURU,ACTIVE
COMPASSION CARE CLINIC,005xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
COMPASSION MEDICAL CENTRE,180xxx,MEDICAL CLINIC,LEVEL 2,MURANG'A,ACTIVE
COMPLETE CARE DENTAL SERVICES LTD,006xxx,DENTAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
COMPLETE CARE HEALTH SERVICES,003xxx,HEALTH CENTRE,LEVEL 3A,KIAMBU,ACTIVE
COMPREHENSIVE CARDIOVASCULAR CARE CENTRE,008xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
COMPREHENSIVE DIABETES CENTRE,008xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
COMPREHENSIVE PAIN CLINIC,014xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
COMPREHENSIVE PINE MEDICAL CENTRE LTD,015xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
COMRADE NURSING HOME,002xxx,NURSING HOME,LEVEL 3A,KIRINYAGA,ACTIVE
CONGO MEDICAL SERVICES,003xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
CONNECTION HEALTH SERVICES LIMITED,019xxx,HOSPITAL LEVEL 4,LEVEL 4,BUNGOMA,ACTIVE
CONNECTION HEALTH SERVICES LIMITED - MALABA TOWN,021xxx,MEDICAL CENTRE,LEVEL 3B,BUSIA,ACTIVE
CONSOLATA HOSPITAL KYENI,000xxx,FAITH BASED LEVEL 5 HOSPITAL,LEVEL 5,EMBU,ACTIVE
CONSOLATA COTTAGE HOSPITAL CHUKA,000xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,THARAKA NITHI,ACTIVE
CONSOLATA HOSPITAL GITORO,016xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,MERU,ACTIVE
CONSOLATA HOSPITAL KYENI -KITOLOLONI CATHOLIC DISPENSARY,000xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
CONSOLATA HOSPITAL KYENI KIBUGUA DISPENSARY,017xxx,FAITH BASED DISPENSARY,LEVEL 2,THARAKA NITHI,ACTIVE
CONSOLATA HOSPITAL MATHARI,000xxx,FAITH BASED LEVEL 5 HOSPITAL,LEVEL 5,NYERI,ACTIVE
CONSOLATA HOSPITAL NANYUKI,016xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,LAIKIPIA,ACTIVE
CONSOLATA HOSPITAL NKUBU,001xxx,FAITH BASED LEVEL 5 HOSPITAL,LEVEL 5,MERU,ACTIVE
CONSOLATA MATHARI TOWN ANNEX,019xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
CONSOLATA MEDICAL CENTRE,007xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
CONSOLATA SHRINE DISPENSARY HIGHRIDGE,001xxx,DISPENSARY,LEVEL 2,NAIROBI,ACTIVE
CONSOLATA SISTERS DISPENSARY TIBWANI,003xxx,DISPENSARY,LEVEL 2,MOMBASA,ACTIVE
CONSOLATION MEDICARE,007xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
COOL SMILE DENTAL CLINIC LIMITED,005xxx,DENTAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
COPING MENTAL WELLNESS CENTRE,019xxx,MEDICAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
