Provider,03-Dec,05-Dec,11-Dec,18-Dec,23-Dec,09-Jan,30-Jan,03-Feb
Dalsan Medical Clinic,"60,000",30000,90000,10000,,,40000,50000
DANABA HEALTH CENTRE,,,269120,184800,67040,40000,40000,30000
DANASA NURSING HOME LIMITED,,,,,796240,320320,,328080
DANDELION MEDICAL CENTRE,9000,,170000,160000,60000,430000,,370000
Dandora II Health Centre,"310,000",30000,679998,170000,150000,569999,,499999
Dandu Health Centre,,,80000,50000,,30000,,440000
Danlink Health Care,"26,880",,249680,267600,156800,853120,,675120
Danya Medical Centre,"272,080",67200,257600,502800,204880,814160,,900480
DASHEK NURSING HOME LIMITED,,,,,165760,551040,,288960
DAVID KAYANDA DISPENSARY,"20,000",,10000,,,,,
Dawafront Healthcare clinic,"40,320",33600,389760,752640,412160,1671040,,2087680
Dawida Annex Hospital,"611,520",425600,194880,1160320,118720,544320,,1397760
DAY TO DAY NURSING HOME LIMITED,,,,,1483600,804160,,1279600
Dencare Medical Care,"29,120",,264320,181440,125440,575680,,616320
DESERTVIEW HEALTHCARE SERVICES,,,40320,103040,31360,566720,,645120
DETENI MEDICAL CLINIC,,,,,10000,10000,,10000
DIAMOND NURSING HOME LIMITED,114240,6720,134400,80640,105280,217280,154560,275520
DIANI BEACH HOSPITAL - LIKONI,,,,,1347360,621600,,483840
Diani Beach Hospital( Ukunda) Clinic,4239910,1644699,5068750,2509660,797210,3008760,1663350,4038530
DIANI HEALTH CENTRE,,,,,380000,1120300,,280000
Dida Dispensary,,,40000,,122400,250000,10000,280000
DIDKURO DISPENSARY,,,60000,40000,20000,50000,20000,
DIENYA HEALTH CENTRE,,,140000,160000,10000,250160,,220000
DIFATHAS HEALTH CENTRE,,,20000,,10000,20000,,50000
Disciples of Mercy Clinic,,,36880,96000,22400,,41360,11200
Divine Mercy Kithatu Dispensary,"103,040",,64800,94080,67040,88400,95120,164400
Doday Nursing Home,56000,26880,154560,85120,145600,521920,,931840
DOLABS MEDICAL CENTRE LIMITED,,,,1167040,96320,674240,,1258880
Doldol Sub District Hospital,,,20000,100000,,,,60000
DOLLAR MEDICARE CENTRE,,,,416640,790720,739200,,1095360
Dolphil Nursing & Maternity Home,"291,610",,1122070,1120800,650640,1681920,,2482640
DOMAO LIFELINE MEDICAL CENTRE,,,,49280,11200,67200,,127680
DR.DAVID RODEN TIKIT MISSION HEALTH CENTRE,,,,51520,68240,336880,,230400
Dundori Health Centre,"110,000",,140000,40000,40000,50000,,200000
Duro Modern Hospital Limited,52560,,138560,153360,90640,429920,,511600
Dzikunze Dispensary,,,11000,50000,10000,,10000,10000
Eagle Health Care Solution,"16,800",,1423915,1577680,286720,2141280,,1210800
East Laikipia Dispensary,"30,000",,50000,,,,10000,
EASTGATE MEDICAL CENTRE,,112000,219520,64960,80640,259840,,112000
Eastleigh Health Centre,20000,,140000,70000,,90000,,180000
EASTLIFE HOSPITAL LIMITED,"810,880",103360,365120,457840,344960,1668160,,2534480
Ebenezer Nursing Home,"95,120",,243520,144240,179920,332400,,294000
EBEREGE DISPENSARY,,,,60000,10000,30000,10000,40000
Ebukanga Dispensary,,,10000,,,10000,,
Ebukoolo Dispensary,,,10000,,,,,
Edna Maternity,"155,860",16200,148600,220320,26880,186800,13360,220800
Edris Premier Hospital Limited,,,130000,,268800,224000,274920,
EeastValley Nursing Home(Naivasha),"145,630",29960,78240,76160,47040,138880,,188160
EKALAKALA NURSING HOME LIMITED,,,156800,303440,165760,617040,,654080
EKERENYO AMANI HEALTH CENTRE,,,,203840,24640,134400,,78400
Ekerenyo Sub-District Hospital,"53,600",23520,485520,374820,164080,797220,,1366320
Ekwanda Health Centre,,,120000,70900,20000,30000,10000,30000
EL-ADO DISPENSARY,,,,,20000,10000,,
ELBEN DISPENSARY,"50,000",,20000,10000,10000,20000,10000,
Elbi Healthcare,51520,,248640,73920,58240,389760,,598080
ELBURGON MATERNITY HOME,,,,,5500,,,
Elburgon Sub County Hospital,,,250000,210000,40000,30000,130000,40000
Eldama Ravine District Hospital,,,455520,53680,60320,,281920,
Eldama Ravine Nursing Home,,,190560,46800,43680,,281120,
EL-DANABA DISPENSARY,,,,40000,,260000,,130320
Eldas Health Centre,"20,160",4100,765280,453360,409920,1249120,77680,1651920
ELDO EYE CENTER LIMITED,,,,,2278120,7246397,206000,
ELDORET HOSPITAL,,,7082475,6214632,1017350,2762120,3061259,3846410
Eldoret Hospital-Kericho Branch,"340,800",191700,1022600,948350,182450,433200,130750,880200
Eldoret Medical Specialist Centre,,,,36960,,,26880,13440
ELDORET ONCOLOGY ASSOCIATES,10435052,4858975,13775042,4726260,3817043,2334795,7110594,
Elele Dispensary,,,,20000,,140000,,150000
El-Golicha Dispensary,,,60000,30000,20000,255440,,353640
Elgon View Medical Cottage,"1,045,808",1691598,1910410,723530,250580,945330,75140,1536990
ELGONVIEW HOSPITAL ELDORET,,,,,348800,147520,,47040
ELHACHE MEDICAL CENTRE,,,,284480,1688960,929600,,716800
ELIANE ROYAL HOSPITAL LIMITED,,,,33600,61520,100800,,122000
ELNOOR DISPENSARY,,,40000,,,30000,,
El-Ram Dispensary,,,120000,80000,10000,190000,10000,200000
EL-SIHA MEDICAL CENTRE,,,,,587910,311360,,629090
ELUCHE DISPENSARY,,,,,10000,,,
ELWAK COTTAGE NURSING HOME,"1,108,800",157920,935200,577920,346080,1216320,,1575840
Elwak Health Centre,,,,424320,212800,656160,,614880
Elwak Nursing Home,"446,880",202720,573440,408800,141120,1020880,48160,1669840
ELWAK ZONE MEDICAL CNTRE,,,,,1871440,1152400,,1194320
ELWANGALE HEALTH CENTRE,,,10000,4480,,146880,,56720
Elwesero Model Health Centre,,,60000,60000,,120000,,170000
Emali Sub County Hospital,"50,000",30000,162400,41200,28960,100000,,163440
Emalia Community Health Center,"300,160",9000,743680,898240,365120,1563360,,2216400
Embakasi Health Centre,20000,,360000,100000,30000,270000,50000,470000
EMBU CHILDREN HOSPITAL,134700,10551557,9502711,4321482,1144760,5500784,2227050,3997560
Embu Childrens Clinic-Town Centre,,,56000,291200,,,,
EMBU COUNTY REFERRAL HOSPITAL,2078394,2058315,10058416,6298780,3177180,12508650,,14616180
Emmanuel Community Hospital Limited,"6,720",,34640,13440,,53440,,25680
Emmanuel Mission Health Centre (Bungoma East),"114,080",11200,147680,210400,203680,479920,,536800
Emory Medical Centre,119600,134400,172400,70000,,76800,,136720
Emuhaya Sub County Referral Hospital,,,252481,107520,30000,,20000,
Emurua Dikirr Health centre,"80,000",,360000,40000,350000,90000,50000,570000
Emusanda Health Centre,"10,000",,30000,40000,20000,10000,10000,110000
Emusire Health Centre,,,30000,60000,,120000,,30000
ENDEBESS SUB-DISTRICT HOSPITAL,,,,19420,3360,205240,,174360
Endo Health Centre,"11,200",,144240,307920,172480,617760,,672560
Engashura Health Centre,,,60000,20000,,80000,30000,140000
ENGINEER COUNTY HOSPITAL,,576100,1124430,621890,217280,1104070,4550,1327970
Enkitok Joy Nursing Home,500,,26880,,,22400,6720,80320
Enockhan Hospital,"24,640",,138880,112000,94080,170240,,253120
Enoosaen Health Centre,,,100000,10000,79999,190000,20000,220000
Entanda Health Centre,20000,,100000,110000,,230000,,50000
ENTARARA HEALTH CENTRE,,,,10000,30000,40000,,80000
ENZAI DISPENSARY,,,,10000,,,,
Enzaro Health Centre,"30,000",,95840,31200,16720,34480,16720,92240
Equator Nursing and Maternity Home,31075,,237440,110920,35620,157930,,368935
EQUITY AFIA EMBAKASI,,,507375,,,,,
Equity Afia Homabay Medical Center,,,,,58500,386500,,59000
EQUITY AFIA IMARA DAIMA,,,398700,,,,,
EQUITY AFIA SIAYA MEDICAL CENTER,,,,,5000,,,
Esageri Health Centre,,,70000,10000,30000,,30000,40000
Esani Sub-County Hospital,"10,000",,200320,70080,66720,190160,,277040
Eshisiru Medical Cottage,"49,280",,118720,88400,44800,542080,,460240
Esianyi Dispensary,,,60000,10000,,10000,20000,20000
ESIKOMA COMMUNITY HOSPITAL,,,,266240,64800,280880,,213840
Esther Memorial Nursing Home,114240,,159040,212800,47040,396320,,440080
Etago Sub-County Hospital,"127,680",,403120,487040,218400,752640,87360,762720
ETONO JAB MEDICAL CENTRE LIMITED,,,,105280,114000,100800,,80640
EURAKA MEDICAL CENTRE,,,,10000,,,,
Eurocity Medical Clinic,"392,000",73920,828800,568960,331520,336000,219520,1096400
Evans Healthcare Clinic LTD,"546,740",149240,1200400,1712400,621520,2936480,,3415200
EWUASO KEDONG DISPENSARY,,,20000,40000,20000,30000,,160000
Excel Health Services,,,56000,,145600,670320,,668560
EYE & U NAKURU LIMITED,,,,,1574720,6820800,,
EYETECH MEDICAL CENTRE MANDERA LIMITED,,4480,8960,,,60480,,235200
FAIRFIELD MEDICAL CENTRE,,,2414100,1536350,167750,756150,1625650,1506650
FAIRMONT HOSPITAL,,5103591,2518250,1007900,175000,2545900,672800,345000
Fairview Medical Clinic,,,,,30000,44480,,130000
FAITH MODEL MEDICAL CENTRE,,,,342720,721280,645120,,734720
Faith Nursing Home (Ikutha),,,169040,166800,20160,436000,,610560
Falama Dispensary,,,110000,280000,90000,220000,30000,110000
FAMILIA BORA MEDICAL CENTRE,,,,24480,,40000,,56720
FAMZAHRA MATERNITY LIMITED,,,,,622720,1247680,,816080
FARAJA FAMILYCARE HOSPITAL LTD CLINIC,,,40950,,,,,
Fatima Maternity Hospital,,,90000,103360,10000,116880,43360,186800
Favour Medical Services,"42,160",88000,175600,265280,87280,508720,,722340
FAYYA NURSING HOME,,,,8960,,862400,,934080
FAZA SUB-COUNTY HOSPITAL,,,,,516400,1320160,,344480
Figo Care Plus (K )Ltd Upper Hill,,,,809400,3599700,1214100,,1416450
Figo Care Plus(K)Limited,"1,203,450",394050,3280200,1256700,394050,2300400,947850,3152400
Fina Medical Nursing Home,"47,040",35500,143080,130960,29120,449040,,746800
Fino Health Centre,,,30000,10000,,225600,,271600
Fino Nursing Home Limited,"611,520",166880,926240,1205120,262080,1348480,,1161440
Firenze Nursing Home,"167,397",481200,856800,476800,,141520,755600,220000
FIRST CHOICE HOSPITAL,,,,646160,67200,1196160,,451280
FLAMINGO MEDICAL CENTRE,,,,,1772480,3195422,,244960
FLC FOUNTAIN MISSION HOSPITAL,,,,31360,75720,172480,,35840
Floder Medical Centre,"44,800",,305680,235200,17920,443360,,455760
Flourspar Health Centre,,,40000,20000,20000,30000,12240,60000
Focus Medical Clinic and Counselling Centre,,51520,30000,,,,46800,10000
Foothill Medical Clinic,"66,740",,275520,246400,129920,598080,,925120
Forthall Memorial Hospital Limited,"1,295,050",865200,2389650,887170,483960,1589520,549000,1979700
FORTIS KIDNEY CENTER LIMITED,,,,3546448,2918100,1853100,,1948950
Fountain Healthcare,"1,148,120",315280,1954240,1731280,404320,1846320,625520,559840
Fountain Healthcare Limited Bungoma,,,1571120,416640,10080,420240,,318000
FRAJOY HEALTH SERVICES ENTERPRISES,,,11200,67200,13440,24640,15680,22400
FRALOMA HOSPITAL LIMITED,,,,20160,42560,31360,,20160
Fremo Medical Centre,"50,000",10000,60000,50000,,120000,,140000
Fremo Medical Centre LTD(Kabiria),,,,,50000,200000,,50000
Frevane Hospital,"427,440",113640,595440,247920,60480,529920,53680,415520
FRIENDS LUGULU HOSPITAL,,1080291,1789580,1137510,811460,1955335,1090165,2738505
Furaha Medical Care,"386,100",96060,507360,497280,181440,954240,147840,1414400
GACHORORO HEALTH CENTRE,,,20000,,,30000,,70000
Gagaba Dispensary,,,70000,60000,10000,90000,,50000
Gahaleni Dispensary,,,,,10000,,10000,30000
GAICHANJIRU CATHOLIC HOSPITAL,,,,,3186960,10881197,,2789980
GALAXY,"512,850",,1853632,1416040,300950,1654040,245670,1129240
Galilee Hospital,,,512720,144000,83600,264160,40160,501760
Gandini Dispensary,,,,,20000,,,
Ganjoni Hospital,"786,240",259840,1093920,416480,40320,826400,,800000
Ganyure Health Centre,,,10000,,,,,
Ganze Health Centre,,,120000,80000,40000,100000,10000,280000
GARISSA ENT MEDICAL CENTRE,,,,77840,,560000,,
GARISSA LEVEL 5 TEACHING AND REFERRAL HOSPITAL,,1975310,3349690,1459680,1078190,3646340,805720,6486480
Garissa Mother and Child Care Nursing Home,,,160960,242320,55840,811840,,374960
Garissa Nursing Home,"16,800",,,47040,,282000,,983040
Garsesala Dispensary,,,120000,70000,10000,314480,,210000
Gates of Hope Family health care,,,,33600,,,,
GATHAMBI HEALTH CENTRE,"10,000",,,,,38500,,20000
Gathigiriri Health Centre,,,,20000,,30000,10000,20000
Gatimu Health Centre,,,30000,,,20000,10000,40000
GATUNDU LEVEL 5 HOSPITAL,,,,,3262990,10054590,9611390,3973920
Gatunga Health Centre,,22000,60320,101840,41360,89720,,164440
Gelegele Dispensary,,,10000,20000,,,,10000
George Mudenyo Kadima Nasio Trust (Mumias West),"13,440",11200,404796,341360,127520,612960,98240,827360
GERTRUDES GARDEN CHILDRENS HOSPITAL NYALI MEDICAL CLINIC,,,384160,533120,317520,987840,,2073680
GESABAKWA HEALTH CENTRE,,,20000,20000,20000,50000,,60000
Gesima Medical Centre,,,,,732320,525200,,405440
Gesima Sub County Hospital,"63,520",,144240,200400,210480,543680,,673360
Gesure Health Centre (Manga),"14,480",,31200,11200,10000,30000,,70000
Gesusu (SDA) Dispensary,,,,,398240,1531200,,818160
Gesusu Sub-County Referral Hospital,"102,400",,406720,206720,46800,116720,66800,153520
Geta Bush Health Centre,"40,000",,60000,40000,50000,110000,,60000
GETARE HEALTH CENTRE,,,10000,23440,39120,,,10000
Getembe Hospital,"320,320",44800,371840,385280,208320,437840,185920,605840
Getende Nursing Home,"425,600",24640,875840,678720,188160,1998080,,1742720
Getiesi Health Centre,,,,10000,10000,20000,10000,20000
GETONTIRA CLINIC,,344942,492800,470400,508480,1208400,6720,1622800
GIAKI SUB DISTRICT HOSPITAL,"10,000",,10000,,,,,
Gichira Health Centre,,,,20000,,10000,17500,
Gikambura Health Centre,,,10000,20000,,50000,,30000
GILGIL HEALTHCARE MEDICAL CENTRE,,,,10000,31360,22400,11200,91840
Gilgil Sub County Hospital,"20,160",46800,401280,76720,245120,701200,33840,1273830
Ginger Hospital,89600,42140,367360,20160,11200,792960,,1355040
Girango Dispensary,,,,10000,,,,
Girissa Dispensary,"322,320",169720,272000,245760,133200,541840,210400,406400
Gisage Dispensary,,,10000,,,,,
Gita Sub County Hospital,149280,44480,177920,40320,63440,199440,,245120
GITHIGA HEALTH CENTRE,,,10000,,,,,
Githumu Hospital,"1,758,720",894175,948040,1325120,273840,865040,431120,1262800
GITHURAI LANGATA HEALTH CENTRE,,,20000,20000,,50000,,30000
GLENFIN DONHOLM HOSPITAL LTD,,,,419600,10080,53520,,63600
Gobei Health Centre,,,20000,50000,20000,,20000,40000
GODBER HEALTH CENTRE,,,,,53760,26880,,40000
Golden Heart Clinic,"6,720",16720,146320,104080,58240,276560,50320,426160
Golgotha Medical Centre,"213,500",,374080,265360,125440,987840,,787280
Gongo Health Centre.,,,50000,10000,,40000,30000,50000
GONGONI HEALTH CENTRE,,,,,10000,,,
GOOD SHEPHERD ANGIYA DISPENSARY,,,,20000,10000,,20000,40000
Goodwill Cottage Hospital,"668,400",,2559118,843280,208880,2392000,1281198,170240
GOT AGULU SUB-DISTRICT HOSPITAL,,,70320,73760,13360,110640,33440,274880
GOT KAMONDI DISPENSARY,,,,10000,,30000,30000,10000
GOT MATAR HEALTH CENTRE,,,,10000,10000,,10000,
GOT NYABONDO HEALTH CENTRE,,,10000,10000,,,,
Got Oyaro Health Centre,,,1039680,73760,354960,799200,,367200
GOTADE NURSING HOME,,,,515200,965440,1366400,,1382080
Gotani Dispensary,,,150000,70000,40000,170000,30000,270000
Gozani Dispensary,,,,,10000,,,10000
Grand Royalcare Medical Clinic,"1,260,000",10080,1836240,1451840,75040,1429840,449680,278240
Grandmed Hospital,"23,520",,413280,293440,105280,1059520,,805280
Granton & Dolly Nursing Home,"161,280",85476,1079680,620480,445760,1397760,,1744960
Grassroot Community Health Services,"20,000",12500,294000,179920,300720,874640,58080,731200
Greenspan Medical Centre,,,11200,69440,22400,80640,71680,120960
Greenview Nursing Home,"797,750",577350,1691830,1024140,330690,1673950,,1488540
Griftu Nursing Home,"453,600",,698880,772800,188160,1337280,208320,1565760
Griftu Subcounty Hospital,16000,,186400,154320,120560,620560,,824880
GUARDIAN HOSPITAL LIMITED,,,,,3533360,14023016,13525606,2710300
GUCHA MATERNITY AND NURSING HOME,,,,1475040,4240320,2278080,,2894180
Gucha Sub County Referral Hospital,"1,748,380",342320,1637440,1207950,968380,1564380,378520,1788610
Gundua Health Centre,,,10000,,,10000,10080,10000
GURAR HEALTH CENTRE,,,240080,43600,197840,255040,,244560
Guru Nanak Hospital,"444,740",331360,780160,100800,198160,382480,23680,402880
Guticha Dispensary,,,,,10000,10000,,
Gynocare Kisii,"244,160",,573200,504000,90720,525280,,308880
Gynocare womens &fistula hospital,,,,,1048080,7732845,,989520
Haab Medical centre,"354,960",26400,627040,506240,239680,937200,61680,1034720
Habaswein Sub County Hospital,"67,200",,264960,214800,245280,3690576,,941520
HADADO MATERNITY AND NURSING HOME,,,386080,492800,219520,517440,898540,663040
Halisi Family Hospital,87360,73920,129920,97440,50400,87360,,191520
HAMISI-SUBCOUNTY HOSPITAL,,,70000,47000,30000,377500,,90000
HAPSA MEDICAL CENTER,,,,62720,189000,38080,,275520
HAPSA MEDICAL CENTRE,,,97425,,,,,
HARAKA DISPENSARY,,,10000,,,10000,,
HARAMBEE HEALTH CENTRE,,,,10000,21200,42400,,6720
Hareri Dispensary,,,330560,158560,76160,462000,5520,761600
HARERI HEALTH CARE SERVICES LTD,,,,,1845760,873600,,842240
Hashi Medical Centre,"1,459,050",191700,2875500,873300,415350,1352550,990450,1980900
Haven Health Care,"520,000",230000,3050000,1630000,360000,3203000,2943000,4289998
Haven Hospital,"370,560",508863,1334851,788670,292960,1303230,383420,1720600
HAWI FAMILY HOSPITAL,,,,1507520,3930180,2745840,,4151000
"Hawi Medical Centre, Nyatoto",,,,,42560,309120,13440,
Hawinga Health Centre,"40,000",30000,85680,20000,20000,60000,50000,110000
Healcare Hospital,"147,760",,415920,298880,211600,211200,278720,480000
Health Charge Medical Center,"336,000",82880,210560,179200,56000,470400,,380800
HEALTH GATE HOSPITAL LTD,,,,475270,1039530,257500,,518850
Health Pact Medical Centre,"157,920",,167394,10080,,36960,47040,
Health Wave Hospital,"575,100",489900,1085080,766300,405050,645750,95280,892650
Healthright Community Medical Centre,"255,360",24640,555520,234000,96320,517440,80640,689920
HELFEN MEDICAL CENTRE,,,,20000,,68240,,79440
HEMA HOSPITAL,,2655400,2178060,1544020,916960,1845400,654280,1829520
Heni Health Centre,,,10000,,,10000,,20000
HEXAGON MEDICAL LIMITED,,,11200,,,11200,,11200
Highfield hospital,"273,880",48080,255040,183520,42560,363920,,338800
Hillsview medical centre,,,,,69280,593280,,458720
HILLVIEW NURSING HOME TAKABA LIMITED,,,,,608080,403200,,430080
HODHAN MEDICAL CLINIC AND EYECARE LIMITED,,,,,1188240,587920,59280,454720
Hola County Referral Hospital,,,404430,154740,,204960,137800,157280
Holsoms Annex Keumbu,"154,560",,755840,453360,272080,778800,328160,1158080
Holsoms Maternity & Nursing Home,"335,760",20400,2172320,1044240,248640,1368640,658320,2142320
Holy family catholic hospital githunguri,,,11200,,10000,31200,11200,23440
HOLY FAMILY HOSPITAL NANGINA,,,,,512560,1447680,,667920
Holy Family Oriang Health Centre,10000,,62720,109760,44800,280880,,279360
HOLY ROSARY HEALTH CENTRE NGONYEK,,,30000,30000,10000,121200,,120000
HOLY SPIRIT HEALTH CENTRE GILGIL,133880,23440,40000,149996,60000,205680,,175680
HOMABAY COUNTY REFERRAL HOSPITAL,,,,21591400,2661360,5948730,5105910,11355640
Home Ground Nursing Home,"383,040",99039,492290,399680,120960,614800,268880,1169040
Home Pearl Medical Clinic,"76,160",6720,143360,212800,210560,553280,,730240
HONGO OGOSA HEALTH CENTRE,,,27920,10000,,8960,,30000
Hope for Widows & Children Foundation Nursing Home,,,434560,450240,174720,1034880,96320,1153600
Hopemot Nursing Home,"398,720",15680,761600,618240,300160,1442560,,1450320
Hoplan Medical Center,"315,840",221760,453360,336000,159040,680800,,748000
Hopps Kliniks Clinic,,,,,163520,942250,,379600
House of Hope Medical Centre,"42,560",16310,257600,297920,237440,100800,60480,47040
HULLOW DISPENSARY,,,80000,80000,40000,190000,10000,10000
HULUGHO SUB-COUNTY HOSPITAL,,,,10000,,,,
Hunter Medical Center,"430,080",69280,450240,582400,215040,719040,226240,1328320
Huruma District Hospital,50000,,150000,70000,20000,60000,,70000
HUSSEIN TAROLE MEDICAL CENTRE,,,58950,,,,,
Ibnusina Nursing Home & Pharmacy,,,11200,,15680,6720,,11200
ICFM DREAMLAND MISSION HOSPITAL,,,,,961823,1868084,,1409320
Iftin Sub-District Hospital,,,15000,,,223600,,484480
Igegania Sub-County Hospital,,,599440,553200,210800,735120,,654400
Igorera Medical Clinic,"224,000",8960,553280,768320,232960,1270080,,1162560
Iguhu Sub County Hospital,,10080,264000,231120,120400,358700,136800,655200
IJARA DISTRICT HOSPITAL,,,136800,176800,76800,407760,,483680
IKANGA SUB-DISTRICT HOSPITAL,,,50000,60000,18960,76720,,40000
IKEREGE LIFECARE MEDICAL CENTRE LTD,,,,1319360,378560,1379840,,1731520
Ikerege Medical Center,"248,640",44800,958720,1124480,504000,1980160,,2929920
IKOMBE DISPENSARY,,,,,50000,100000,,80000
Ikonzo Model Health Centre,,,,10000,,,,
Ikutha Medical Clinic,"44,800",,284320,252960,112000,723360,,1058160
Imani Medical Centre(Kitui Central),,,,,31360,238480,,215040
Imara Health Centre,"148,060",40320,534400,295680,249680,1471120,,1388400
Imara Hospital Embu (Rwika),,,1710480,6791740,901120,3509200,3120400,1280000
Imaraat Nursing Home,"492,800",26880,1135680,1509760,367360,4406080,,3872960
IMBIRIKANI LEVEL 4 HOSPITAL,,,,8360,,,,10000
Immaculate Heart Hospital Kereita,36960,36440,93760,80480,30000,203520,,468000
Immaculate Heart of Mary Hospital,"97,120",40080,184320,100560,248000,157520,3360,332000
Impact Health Care,"10,000",,50000,,20000,36720,10000,69120
IMPACT HEALTHCARE,,,6720,15680,31360,92880,,322560
IMPACT HEALTHCARE- ANNEX,,,,6720,56000,96320,,
"IMPACT RESEARCH, TRAINING AND HEALTHCARE SERVICES","17,920",6720,,,,,,
Indangalasia Dispensary,,,,10000,,20000,10000,
INNOVATION EYE CENTRE LTD,,,,,604800,2804100,,
Inuka Hospital & Maternity Home,"573,440",417195,631360,772565,707760,1209920,157280,1525120
Inuka Medical Clinic,"192,640",,1411920,,,,,
Inuka Nursing Home,"168,000",56560,312400,219520,51520,237440,206080,680760
Iranda Sub County Referral Hospital,"93,600",,130240,93440,20000,110160,,110000
Irwaga Health Centre,,,30000,40000,,50000,,40000
ISANA MATERNITY AND NURSING,,,,109760,154560,189200,,229520
Isecha Sub-County Hospital,,,43520,5000,45320,154480,5000,233400
Isegere Toto Medical Clinic,"11,200",,29120,49280,,,29120,22400
Ishiara Sub-County Hospital,"190,800",,584160,314800,107280,267840,60000,381760
Isibania Mission Health Centre,,,47040,154080,,227520,,251120
ISINYA HEALTH CENTRE,,,,,22240,70000,,50000
ISIOLO COUNTY NURSING HOME,,,13440,11200,6720,109760,,163520
Isiolo County Referral Hospital,"162,600",37520,1820670,496697,219150,656550,551520,1031510
Isiolo Drug Mart Medical Centre,"20,160",127300,68750,67120,16800,110640,,168000
ITANDO MISSION OF HOPE AND HEALTH CENTRE,,,,7847540,450160,1668240,,811760
ITEN COUNTY REFERRAL HOSPITAL,,8085779,4790652,1655190,352220,2620130,476040,6534700
ITIERIO MATERNITY AND NURSING HOME,,,,159220,1469920,1139520,,1202990
Ivory Health Solution Limited,,2240,15680,29120,13440,26880,11200,47040
IYABE DISTRICT HOSPITAL,,,36880,27160,23520,33440,23800,20000
J.M KARIUKI MEMORIAL COUNTY REFERRAL HOSPITAL,,3724940,4704190,2046140,353860,2149510,45010,3200710
Jakaba,"8,960",,42560,38960,8960,107520,,71680
JALARAM MEDICAL SERVICES,,,,,1065000,1437750,,820050
Jalaram Nursing Home,"678,720",963120,1037120,749280,372880,2019360,380800,1459360
JAMAA MISSION HOSPITAL,,,,,3813510,7628180,,2213340
JAMBO HEALTHCARE LIMITED,,,10000,,6720,30000,,66720
Jambo Hospital (Mtwapa),"30,240",,120960,134160,40320,454160,,749040
Jambo Kidney Care Ltd,"766,800",1043700,2119350,798750,276900,1288650,532500,1948950
Jamhuri Life Care Hospital Limited,"127,680",32000,241920,336000,84000,349440,36960,520800
Jamia Medical Centre,,,289520,281680,184560,270560,22560,756320
Jamii Hospital,"221,520",42790,114000,853120,498160,932240,,734720
Jamii Medical Clinic Mukuru,67200,,138880,80640,6720,130960,26880,265200
Jamii Wellness Hospital,"251,920",,265200,355040,,103840,,26800
Janeiro Nursing Home,"1,959,360",776690,2117920,1788320,589840,2614880,295600,3156800
Janice Cholerton Medical & Cancer Centre (Golfcourse),"718,900",268900,495520,60000,50000,316000,230000,26880
JARAMOGI OGINGA ODINGA TEACHING & REFERRAL HOSPITAL,,,,81645793,7337999,20835809,,22524174
Jarbaley Nursing Home,,,38080,67200,114240,156800,107520,156800
Jaribuni Dispensary,,,20000,30000,10000,10000,,
JEDDAH HOSPITAL LIMITED,,,40320,325920,87360,1841280,,2110080
JEMINDAS NURSING HOME LIMITED,,,11200,10000,,57920,,80160
Jesmo Hospital,"764,470",292560,2155920,2915120,1128960,5199040,,9000400
Jesse Kay Hospital,"760,800",,762800,1215116,525840,1024400,,336480
Jibana Sub District Hospital,,,53600,60400,30000,60080,,157200
JILANGO DISPENSARY,,,20000,70000,,10000,10000,10000
JILORE DISPENSARY,,,20000,10000,,10000,,10000
JIMBA DISPENSARY,,,20000,,,,,
JOCHAM HOSPITAL LTD,,,,,1558767,5383765,,4188010
Jodams Medical maternity Clinic (Kenyenya),114440,2240,96320,223840,78400,306720,41520,340160
Joint Partner Medical Clinic,6000,13440,87040,77200,36720,137680,57040,242640
JOMVU MODEL HEALTH CENTRE,"20,000",,50000,10000,40000,70000,,20000
JORDAN HOSPITAL,,,,,6356130,1092900,,1547970
Joshimo Medical Centre,"754,880",33600,862400,848960,427840,2060800,118720,2041680
JOSMA HEALTH SERVICES LIMITED,,53530,,,,,,
JOSNAM MEDICAL CLINIC,,,,20000,20000,40000,,20000
Jotram Medical Centre,,,20160,133920,70560,218320,,506960
Joy Morangi Medical Centre,"11,200",,441280,174720,300160,1171520,,1077440
Joyellen Women Hospital,"13,440",,36960,57120,20160,130960,50240,107440
Joyride Medical Centre,"393,120",26880,1156960,686160,101920,742320,79600,1302640
JUJA FARM HEALTH CENTRE,,,,,10000,,,
Juja Modern Hospital & Maternity,,,287920,316720,60000,257920,157760,562560
Juja Road Hospital (Nairobi),"1,386,160",240320,2620640,1207280,400240,2073360,,2296560
Jumkino Medical Center,"338,240",11200,506240,344960,150080,571200,47040,837760
Jumuia Hospital Huruma,7159760,1297840,10639580,3373440,5322880,13043360,15465220,3122740
JUMUIA MISSION HOSPITAL KAIMOSI,,,,,6379110,11837020,,2116150
Jumupamozzi Medical Centre,"40,320",,45840,26880,22400,148720,,105280
JUNCTION MEDICAL CLINIC CHAVAKALI,,,200,4480,,11200,,6000
JUNJU DISPENSARY,,,10000,30000,,60000,,100000
Kaaleng Health Centre,,,320160,128560,20160,297600,,840880
Kaanan Medical Centre,"144,480",65080,1162560,665280,813120,1592640,,1958880
KABARTONJO DISTRICT HOSPITAL,,,30000,70000,30000,89800,,152460
Kabati Medicare Health Services Nursing Home,"11,200",,127680,56000,103040,179200,,197120
